Wall time,Step,Value
1531126658.151568,0,1.6871023178100586
1531126675.966848,1,1.2438664436340332
1531126789.721904,1,1.2972527742385864
1531126807.411151,2,0.9853836894035339
1531126825.142663,3,0.8314535617828369
1531126842.818781,4,0.7423510551452637
1531126860.499634,5,0.6751600503921509
1531126878.176518,6,0.6216817498207092
1531126895.862022,7,0.5793536305427551
1531126913.566938,8,0.5449690818786621
1531126931.191962,9,0.5179118514060974
1531126948.892539,10,0.49951082468032837
1531126966.569326,11,0.4760740101337433
1531126984.237998,12,0.4540541172027588
1531127001.948294,13,0.43423688411712646
1531127019.657202,14,0.4241306185722351
1531127037.360119,15,0.4034636616706848
1531127055.061659,16,0.399470716714859
1531127073.137612,17,0.3897778391838074
1531127091.238792,18,0.37278982996940613
1531127109.008551,19,0.3697816729545593
1531127126.68693,20,0.3577924966812134
1531127144.419742,21,0.35297641158103943
1531127162.098075,22,0.34261462092399597
1531127179.787994,23,0.33615410327911377
1531127197.468857,24,0.3312321901321411
1531127215.148751,25,0.32579803466796875
1531127232.842539,26,0.3170146048069
1531127250.536839,27,0.3182169497013092
1531127268.504575,28,0.3072562515735626
1531127286.346552,29,0.3067481815814972
1531127304.430812,30,0.3019562363624573
