Wall time,Step,Value
1531127352.847036,0,2.1252715587615967
1531127369.826549,1,1.7452075481414795
1531127386.815343,2,1.4042876958847046
1531127403.810629,3,1.1215174198150635
1531127420.817858,4,0.9359174370765686
1531127437.839634,5,0.8278310894966125
1531127454.841134,6,0.7618322372436523
1531127471.892866,7,0.7133697867393494
1531127489.168164,8,0.6805852055549622
1531127506.324254,9,0.6627755165100098
1531127523.332005,10,0.6394222378730774
1531127540.387725,11,0.6182147264480591
1531127557.426568,12,0.5994366407394409
1531127574.480702,13,0.5899682641029358
1531127591.512081,14,0.574629008769989
1531127608.641683,15,0.5722991228103638
1531127625.901451,16,0.559588611125946
1531127642.944231,17,0.5489106774330139
1531127660.03865,18,0.540299654006958
1531127677.059741,19,0.5312350988388062
1531127694.148162,20,0.5327509045600891
1531127711.194927,21,0.5201404094696045
1531127728.266067,22,0.5136181712150574
1531127745.356068,23,0.5115138292312622
1531127762.445199,24,0.5044892430305481
1531127779.519507,25,0.4991406500339508
1531127796.55057,26,0.49523982405662537
1531127813.556821,27,0.48882177472114563
1531127830.684606,28,0.49540475010871887
1531127847.836635,29,0.4936518669128418
1531127865.254018,30,0.4859065115451813
1531127882.231468,31,0.4822755753993988
1531127899.236164,32,0.4764268696308136
1531127916.25042,33,0.47911739349365234
1531127933.629206,34,0.46995222568511963
1531127950.863413,35,0.4733816385269165
1531127968.096111,36,0.4647473692893982
1531127985.660899,37,0.4686988890171051
1531128002.970578,38,0.4591154158115387
